Link,Date,Name,Opponent,F1_Win,F1_Draw,Result_clean,EndRound
http://www.ufcstats.com/fighter-details/002ca196477ce572,2020-02-29,Gabriel Silva,Kyler Phillips,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/002ca196477ce572,2019-07-20,Gabriel Silva,Ray Borg,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/003d82fa384ca1d0,2021-03-06,Aalon Cruz,Uros Medic,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/003d82fa384ca1d0,2020-02-29,Aalon Cruz,Spike Carlyle,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/0052de90691d4a93,2020-07-18,Davi Ramos,Arman Tsarukyan,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/0052de90691d4a93,2019-09-07,Davi Ramos,Islam Makhachev,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/0052de90691d4a93,2019-05-18,Davi Ramos,Austin Hubbard,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/0052de90691d4a93,2018-11-10,Davi Ramos,John Gunther,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/0052de90691d4a93,2018-05-12,Davi Ramos,Nick Hein,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/008dc37cca279def,2011-03-26,Sean McCorkle,Christian Morecraft,FALSE,FALSE,Submission,2
http://www.ufcstats.com/fighter-details/008dc37cca279def,2010-12-11,Sean McCorkle,Stefan Struve,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/008dc37cca279def,2010-09-25,Sean McCorkle,Mark Hunt,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/008ea710276c9606,2022-06-04,Jeff Molina,Zhalgas Zhumagulov,TRUE,FALSE,Split Decision,3
http://www.ufcstats.com/fighter-details/008ea710276c9606,2021-10-23,Jeff Molina,Daniel Da Silva,TRUE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/008ea710276c9606,2021-04-24,Jeff Molina,Aoriqileng,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/009341ed974bad72,2022-06-11,Jiri Prochazka,Glover Teixeira,TRUE,FALSE,Submission,5
